@relation 'parsejson'
@attribute probe_id numeric
% dsfail.py
@attribute dsfail_rt numeric
@attribute dsfail_size numeric
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_qcount numeric %% query count
@attribute dsfail_acount numeric %% answer count
@attribute dsfail_nscount numeric %% authority count
@attribute dsfail_arcount numeric %% additional count
@attribute dsfail_rdata string %% rdata of first reply
% nxdomain.py
@attribute nxd_rt numeric %% response time
@attribute nxd_size numeric %% response size
@attribute nxd_rcode numeric %% response code
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
% nsid.py
@attribute nsid_rt numeric    %% response time
@attribute nsid_flags numeric %% header bit flags (decimal)
@attribute nsid_rcode numeric %% response code
% chaos.py
@attribute chaos1_rt numeric % response time
@attribute chaos1_size numeric % response size
@attribute chaos1_rcode numeric % response code
@attribute chaos1_version_bind numeric % request field
@attribute chaos1_version_hostname numeric % request field
@attribute chaos1_resp string % response string
% chaos.py
@attribute chaos2_rt numeric % response time
@attribute chaos2_size numeric % response size
@attribute chaos2_rcode numeric % response code
@attribute chaos2_version_bind numeric % request field
@attribute chaos2_version_hostname numeric % request field
@attribute chaos2_resp string % response string
% whoami.py
@attribute whoami_rt numeric %% response time
@attribute whoami_ip string %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
% ipv6.py
@attribute ipv6_rt numeric %% response time
@attribute ipv6_size numeric %% response size
@attribute ipv6_rcode numeric %% response code
% class
@attribute ok {1,0}
@data
509,329.99,39,33154,2,1,0,0,0,N/A,79.399,105,3,66.857,31,33664,0,80.882,33152,0,54.129,30,2,1,0,N/A,68.516,42,2,0,1,N/A,55.959,74.125.181.15,15169,64.778,74,0,1
523,292.674,39,33154,2,1,0,0,0,N/A,94.298,105,3,69.621,31,33664,0,93.159,33152,0,59.263,30,2,1,0,N/A,73.729,42,2,0,1,N/A,61.46,74.125.181.6,15169,65.327,74,0,1
525,439.946,39,33154,2,1,0,0,0,N/A,95.681,105,3,95.81,31,33664,0,102.92,33152,0,87.531,30,2,1,0,N/A,101.934,42,2,0,1,N/A,90.138,74.125.46.6,15169,94.936,74,0,1
529,298.867,39,33154,2,1,0,0,0,N/A,65.899,105,3,67.845,31,33664,0,72.823,33152,0,58.701,30,2,1,0,N/A,72.336,42,2,0,1,N/A,61.219,173.194.169.76,15169,63.979,74,0,1
555,355.417,39,33154,2,1,0,0,0,N/A,91.155,105,3,87.02,31,33664,0,94.519,33152,0,78.87,30,2,1,0,N/A,93.133,42,2,0,1,N/A,80.851,74.125.181.7,15169,76.554,74,0,1
559,331.543,39,33154,2,1,0,0,0,N/A,136.504,105,3,135.139,31,33664,0,143.239,33152,0,126.887,30,2,1,0,N/A,179.224,42,2,0,1,N/A,150.855,74.125.47.4,15169,134.011,74,0,1
570,263.192,39,33154,2,1,0,0,0,N/A,81.289,105,3,93.032,31,33664,0,88.525,33152,0,66.564,30,2,1,0,N/A,80.064,42,2,0,1,N/A,74.066,74.125.47.154,15169,86.094,74,0,1
571,266.855,39,33154,2,1,0,0,0,N/A,61.431,105,3,61.988,31,33664,0,74.098,33152,0,54.492,30,2,1,0,N/A,68.073,42,2,0,1,N/A,60.882,74.125.47.154,15169,574.515,74,0,1
575,335.72,39,33154,2,1,0,0,0,N/A,111.329,105,3,103.606,31,33664,0,93.831,33152,0,77.227,30,2,1,0,N/A,89.659,42,2,0,1,N/A,86.941,74.125.181.7,15169,113.666,74,0,1
578,256.168,39,33154,2,1,0,0,0,N/A,90.1,105,3,82.017,31,33664,0,138.404,33152,0,72.923,30,2,1,0,N/A,86.814,42,2,0,1,N/A,75.599,74.125.47.141,15169,84.594,74,0,1
579,320.655,39,33154,2,1,0,0,0,N/A,67.58,105,3,68.863,31,33664,0,86.877,33152,0,55.475,30,2,1,0,N/A,74.497,42,2,0,1,N/A,59.052,74.125.47.5,15169,67.196,74,0,1
580,184.987,39,33154,2,1,0,0,0,N/A,71.486,105,3,89.456,31,33664,0,79.95,33152,0,54.017,30,2,1,0,N/A,79.367,42,2,0,1,N/A,65.712,173.194.169.76,15169,84.756,74,0,1
