@relation 'parsejson'
@attribute probe_id numeric
% dsfail.py
@attribute dsfail_rt numeric
@attribute dsfail_size numeric
@attribute dsfail_flags numeric %% header bit flags (decimal)
@attribute dsfail_rcode numeric %% response code
@attribute dsfail_qcount numeric %% query count
@attribute dsfail_acount numeric %% answer count
@attribute dsfail_nscount numeric %% authority count
@attribute dsfail_arcount numeric %% additional count
@attribute dsfail_rdata string %% rdata of first reply
% nxdomain.py
@attribute nxd_rt numeric %% response time
@attribute nxd_size numeric %% response size
@attribute nxd_rcode numeric %% response code
% dnskey.py
@attribute dnskey_rt numeric    %% response time
@attribute dnskey_size numeric  %% response size
@attribute dnskey_flags numeric %% header bit flags (decimal)
@attribute dnskey_rcode numeric %% response code
% nsid.py
@attribute nsid_rt numeric    %% response time
@attribute nsid_flags numeric %% header bit flags (decimal)
@attribute nsid_rcode numeric %% response code
% chaos.py
@attribute chaos1_rt numeric % response time
@attribute chaos1_size numeric % response size
@attribute chaos1_rcode numeric % response code
@attribute chaos1_version_bind numeric % request field
@attribute chaos1_version_hostname numeric % request field
@attribute chaos1_resp string % response string
% whoami.py
@attribute whoami_rt numeric %% response time
@attribute whoami_ip string %% resolver ip address
@attribute whoami_asn numeric %% resolver asn
% class
@attribute ok {1,0}
@data
472,145.068,39,33154,2,1,0,0,0,N/A,62.422,105,3,62.58,31,33664,0,71.04,33152,0,55.338,30,2,1,0,N/A,56.439,74.125.73.89,15169,1
475,292.48,39,33154,2,1,0,0,0,N/A,84.997,105,3,77.053,31,33664,0,82.684,33152,0,68.909,30,2,1,0,N/A,70.967,173.194.170.13,15169,1
483,634.275,39,33154,2,1,0,0,0,N/A,158,105,3,461.805,31,33664,0,80.662,33152,0,223.82,30,2,1,0,N/A,151.343,74.125.41.81,15169,1
509,329.99,39,33154,2,1,0,0,0,N/A,79.399,105,3,66.857,31,33664,0,80.882,33152,0,54.129,30,2,1,0,N/A,55.959,74.125.181.15,15169,1
523,292.674,39,33154,2,1,0,0,0,N/A,94.298,105,3,69.621,31,33664,0,93.159,33152,0,59.263,30,2,1,0,N/A,61.46,74.125.181.6,15169,1
529,298.867,39,33154,2,1,0,0,0,N/A,65.899,105,3,67.845,31,33664,0,72.823,33152,0,58.701,30,2,1,0,N/A,61.219,173.194.169.76,15169,1
533,207.092,39,33154,2,1,0,0,0,N/A,71.151,105,3,71.829,31,33664,0,102.66,33152,0,63.759,30,2,1,0,N/A,65.611,74.125.47.9,15169,1
539,228.185,39,33154,2,1,0,0,0,N/A,78.387,105,3,78.731,31,33664,0,84.724,33152,0,74.36,30,2,1,0,N/A,67.377,173.194.98.2,15169,1
549,240.981,39,33154,2,1,0,0,0,N/A,111.602,105,3,113.586,31,33664,0,119.777,33152,0,106.44,30,2,1,0,N/A,184.844,74.125.73.87,15169,1
558,333.614,39,33154,2,1,0,0,0,N/A,72.754,105,3,66.016,31,33664,0,83.069,33152,0,57.825,30,2,1,0,N/A,66.133,74.125.47.154,15169,1
559,331.543,39,33154,2,1,0,0,0,N/A,136.504,105,3,135.139,31,33664,0,143.239,33152,0,126.887,30,2,1,0,N/A,150.855,74.125.47.4,15169,1
570,263.192,39,33154,2,1,0,0,0,N/A,81.289,105,3,93.032,31,33664,0,88.525,33152,0,66.564,30,2,1,0,N/A,74.066,74.125.47.154,15169,1
571,266.855,39,33154,2,1,0,0,0,N/A,61.431,105,3,61.988,31,33664,0,74.098,33152,0,54.492,30,2,1,0,N/A,60.882,74.125.47.154,15169,1
578,256.168,39,33154,2,1,0,0,0,N/A,90.1,105,3,82.017,31,33664,0,138.404,33152,0,72.923,30,2,1,0,N/A,75.599,74.125.47.141,15169,1
580,184.987,39,33154,2,1,0,0,0,N/A,71.486,105,3,89.456,31,33664,0,79.95,33152,0,54.017,30,2,1,0,N/A,65.712,173.194.169.76,15169,1
593,287.717,39,33154,2,1,0,0,0,N/A,104.44,105,3,86.949,31,33664,0,110.415,33152,0,81.522,30,2,1,0,N/A,107.886,74.125.46.3,15169,1
